epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.513,2.00216,2.22907,1.88925,0.4921,0.37548,0.365,0.16887,1.8668,1.83878,1.79342,0.00332944,0.00332944,0.00332944
2,831.389,1.76766,1.6637,1.68965,0.55567,0.39698,0.41911,0.20885,1.75417,1.68747,1.70235,0.00665947,0.00665947,0.00665947
3,1234.05,1.68145,1.56023,1.62479,0.55387,0.4237,0.43912,0.22447,1.68751,1.60202,1.65172,0.00998621,0.00998621,0.00998621
4,1635,1.61289,1.47431,1.57511,0.5897,0.44769,0.48438,0.25953,1.62064,1.49774,1.5999,0.00998515,0.00998515,0.00998515
5,2035.27,1.54745,1.39473,1.52607,0.61233,0.47041,0.51541,0.28329,1.53838,1.45162,1.54862,0.0099802,0.0099802,0.0099802
6,2436.16,1.4993,1.34353,1.49599,0.61692,0.48092,0.52581,0.28864,1.52599,1.40532,1.52258,0.00997525,0.00997525,0.00997525
7,2839.99,1.46365,1.29694,1.47005,0.64318,0.49994,0.55094,0.31119,1.47715,1.33371,1.4954,0.0099703,0.0099703,0.0099703
8,3244.06,1.43106,1.26431,1.44631,0.64765,0.50849,0.56173,0.32112,1.43371,1.30272,1.47744,0.00996535,0.00996535,0.00996535
9,3649.34,1.40547,1.23396,1.42809,0.6524,0.5167,0.5699,0.32901,1.42716,1.27223,1.4647,0.0099604,0.0099604,0.0099604
10,4052.68,1.38105,1.20699,1.41174,0.66079,0.52785,0.58443,0.34504,1.37714,1.22687,1.43067,0.00995545,0.00995545,0.00995545
11,4456.92,1.3625,1.19011,1.39631,0.66142,0.54155,0.59363,0.35341,1.3582,1.2089,1.41762,0.0099505,0.0099505,0.0099505
12,4857.91,1.34822,1.17035,1.38724,0.66773,0.54503,0.59985,0.35912,1.34435,1.19073,1.40736,0.00994555,0.00994555,0.00994555
13,5259.92,1.33007,1.15343,1.3763,0.66541,0.55963,0.60835,0.3666,1.32061,1.16656,1.39181,0.0099406,0.0099406,0.0099406
14,5661.97,1.32148,1.13753,1.36907,0.67319,0.56077,0.61503,0.37415,1.29792,1.1516,1.38151,0.00993565,0.00993565,0.00993565
15,6065.51,1.30688,1.12972,1.35828,0.67358,0.56741,0.62107,0.37911,1.29169,1.13629,1.3704,0.0099307,0.0099307,0.0099307
16,6469.74,1.29619,1.11758,1.35335,0.68135,0.57082,0.62401,0.38465,1.26922,1.12985,1.35911,0.00992575,0.00992575,0.00992575
17,6873.18,1.28464,1.10495,1.34362,0.68073,0.57354,0.62883,0.38785,1.2613,1.10902,1.35361,0.0099208,0.0099208,0.0099208
18,7276.89,1.27653,1.09525,1.33926,0.68317,0.58363,0.63546,0.39353,1.25475,1.09483,1.34986,0.00991585,0.00991585,0.00991585
19,7681.12,1.26633,1.08781,1.33476,0.68094,0.5841,0.63661,0.39706,1.24172,1.08744,1.34205,0.0099109,0.0099109,0.0099109
20,8086.32,1.2517,1.07838,1.32385,0.68223,0.58843,0.64218,0.40108,1.23151,1.07417,1.3352,0.00990595,0.00990595,0.00990595
21,8489.5,1.25184,1.07473,1.32168,0.68283,0.5957,0.6459,0.40443,1.22488,1.06714,1.32788,0.009901,0.009901,0.009901
22,8895.32,1.2439,1.06683,1.3173,0.68835,0.59387,0.64825,0.4075,1.21447,1.05833,1.32557,0.00989605,0.00989605,0.00989605
23,9298.19,1.23351,1.05797,1.31114,0.68485,0.59855,0.65095,0.40987,1.21073,1.05228,1.32126,0.0098911,0.0098911,0.0098911
24,9703.65,1.23078,1.05222,1.30557,0.68675,0.60187,0.65365,0.41335,1.20031,1.04477,1.31359,0.00988615,0.00988615,0.00988615
25,10108.4,1.22354,1.04943,1.30437,0.68609,0.60425,0.65571,0.41594,1.19506,1.03947,1.3106,0.0098812,0.0098812,0.0098812
26,10509.4,1.21865,1.04262,1.29883,0.68741,0.6057,0.65736,0.41821,1.18939,1.0317,1.30788,0.00987625,0.00987625,0.00987625
27,10914,1.21225,1.03498,1.29525,0.68922,0.6074,0.65837,0.4196,1.1856,1.02757,1.30525,0.0098713,0.0098713,0.0098713
28,11315.6,1.20677,1.02941,1.28935,0.6932,0.6071,0.6606,0.42162,1.17966,1.0219,1.30157,0.00986635,0.00986635,0.00986635
29,11718.3,1.19925,1.02766,1.28599,0.6897,0.61294,0.66234,0.42314,1.17419,1.01966,1.29803,0.0098614,0.0098614,0.0098614
30,12120.6,1.19758,1.0253,1.28559,0.68981,0.61383,0.66326,0.42465,1.16719,1.01513,1.29354,0.00985645,0.00985645,0.00985645
31,12521.8,1.19303,1.02107,1.27999,0.6878,0.61476,0.66506,0.42595,1.16516,1.01139,1.29219,0.0098515,0.0098515,0.0098515
32,12924.5,1.18858,1.01332,1.27586,0.68932,0.61498,0.66629,0.42736,1.16311,1.00954,1.29074,0.00984655,0.00984655,0.00984655
33,13327.3,1.18596,1.01175,1.27573,0.68645,0.61864,0.66766,0.42867,1.16112,1.00541,1.28891,0.0098416,0.0098416,0.0098416
34,13731.9,1.18112,1.00685,1.27043,0.68874,0.6177,0.66873,0.42961,1.15916,1.004,1.28728,0.00983665,0.00983665,0.00983665
35,14134.1,1.17664,1.0028,1.27011,0.68793,0.61991,0.66938,0.43053,1.15606,1.00035,1.28561,0.0098317,0.0098317,0.0098317
36,14535.9,1.1755,1.00367,1.26993,0.68873,0.6211,0.67041,0.43151,1.15243,0.9974,1.28371,0.00982675,0.00982675,0.00982675
37,14938.4,1.17136,0.99922,1.26676,0.68969,0.62246,0.67124,0.4324,1.15033,0.99619,1.28234,0.0098218,0.0098218,0.0098218
38,15340.9,1.16726,0.99599,1.26301,0.68992,0.62285,0.67213,0.43338,1.14828,0.99397,1.28112,0.00981685,0.00981685,0.00981685
39,15743.1,1.16211,0.9946,1.26158,0.69168,0.62353,0.67224,0.43379,1.14583,0.99312,1.27932,0.0098119,0.0098119,0.0098119
40,16145.8,1.15903,0.99093,1.25908,0.69077,0.62655,0.67311,0.4344,1.14358,0.99141,1.27802,0.00980695,0.00980695,0.00980695
41,16548.7,1.15744,0.98729,1.25552,0.69116,0.62599,0.67336,0.43501,1.14213,0.98998,1.2769,0.009802,0.009802,0.009802
42,16951.7,1.15428,0.98593,1.2546,0.69159,0.62576,0.67382,0.43564,1.14081,0.98915,1.27623,0.00979705,0.00979705,0.00979705
43,17355.5,1.15271,0.98083,1.25205,0.69183,0.62693,0.67417,0.43627,1.13974,0.98786,1.27527,0.0097921,0.0097921,0.0097921
44,17756.7,1.15164,0.98245,1.25118,0.69146,0.62735,0.67445,0.43684,1.13855,0.98757,1.2743,0.00978715,0.00978715,0.00978715
45,18158.6,1.14635,0.97724,1.24799,0.69029,0.62825,0.67482,0.43731,1.13743,0.9863,1.2732,0.0097822,0.0097822,0.0097822
46,18560.7,1.14182,0.9752,1.24682,0.69172,0.62693,0.67472,0.43735,1.13598,0.98535,1.27232,0.00977725,0.00977725,0.00977725
47,18961.4,1.13968,0.97434,1.24488,0.6923,0.62669,0.6756,0.43803,1.13436,0.98461,1.27121,0.0097723,0.0097723,0.0097723
48,19362.5,1.1376,0.97222,1.24385,0.69096,0.62731,0.67544,0.4383,1.13364,0.98416,1.27076,0.00976735,0.00976735,0.00976735
49,19763.3,1.13645,0.96743,1.24307,0.69072,0.62867,0.67577,0.43845,1.13283,0.98316,1.27027,0.0097624,0.0097624,0.0097624
50,20164,1.13717,0.96716,1.24102,0.6922,0.62774,0.67626,0.43901,1.13171,0.9823,1.26943,0.00975745,0.00975745,0.00975745
51,20564.5,1.1291,0.96298,1.2394,0.69234,0.62914,0.67676,0.43957,1.13056,0.98176,1.26871,0.0097525,0.0097525,0.0097525
52,20965.8,1.13017,0.96249,1.2383,0.69338,0.62844,0.67695,0.43969,1.12941,0.98111,1.26802,0.00974755,0.00974755,0.00974755
53,21366,1.1281,0.95994,1.23766,0.69067,0.63228,0.67747,0.4401,1.12856,0.9804,1.26737,0.0097426,0.0097426,0.0097426
54,21769.3,1.12894,0.96069,1.23606,0.69064,0.63085,0.67744,0.44032,1.12761,0.97946,1.26677,0.00973765,0.00973765,0.00973765
55,22172.3,1.12053,0.95475,1.23129,0.69177,0.63038,0.67779,0.44069,1.12627,0.97866,1.26602,0.0097327,0.0097327,0.0097327
56,22574.9,1.12188,0.95495,1.23433,0.69174,0.63059,0.67788,0.44115,1.125,0.97783,1.26546,0.00972775,0.00972775,0.00972775
57,22976.2,1.12018,0.95574,1.23088,0.69387,0.62957,0.67773,0.44146,1.12411,0.9772,1.26491,0.0097228,0.0097228,0.0097228
58,23376.7,1.11859,0.95027,1.23003,0.69603,0.62755,0.67756,0.44174,1.12326,0.97635,1.26442,0.00971785,0.00971785,0.00971785
59,23777.2,1.11755,0.95162,1.22876,0.69552,0.62893,0.67813,0.44205,1.12222,0.9754,1.26393,0.0097129,0.0097129,0.0097129
60,24176.8,1.11216,0.94771,1.22744,0.69467,0.62982,0.6782,0.44242,1.12117,0.9745,1.26324,0.00970795,0.00970795,0.00970795
61,24577.9,1.11195,0.94897,1.2269,0.69412,0.63013,0.67831,0.44256,1.12049,0.9744,1.26281,0.009703,0.009703,0.009703
62,24978.5,1.11139,0.94579,1.22332,0.69655,0.62855,0.67838,0.44297,1.1197,0.97377,1.26237,0.00969805,0.00969805,0.00969805
63,25377.4,1.11065,0.94526,1.22398,0.69606,0.62829,0.67858,0.44328,1.11847,0.97292,1.26167,0.0096931,0.0096931,0.0096931
64,25777,1.10893,0.94723,1.22508,0.69368,0.62919,0.67912,0.44374,1.1174,0.9727,1.26098,0.00968815,0.00968815,0.00968815
65,26176,1.10496,0.94247,1.22092,0.69294,0.63097,0.67975,0.4442,1.11604,0.97196,1.26013,0.0096832,0.0096832,0.0096832
