epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.178,4.94931,2.84855,2.34754,0.26464,0.2719,0.18481,0.06907,5.7893,2.67327,3.00764,0.00331776,0.00331776,0.00331776
2,767.271,3.82676,2.09252,1.79763,0.50563,0.39107,0.38633,0.1737,5.54759,2.50432,2.82904,0.00664451,0.00664451,0.00664451
3,1076.03,3.56073,1.7831,1.6488,0.48008,0.37626,0.35676,0.16272,5.52913,2.29648,2.98305,0.00996465,0.00996465,0.00996465
4,1393.31,3.43262,1.67659,1.59556,0.53527,0.40441,0.40698,0.19775,5.29634,2.27531,2.72093,0.0099703,0.0099703,0.0099703
5,1745.67,3.2826,1.59082,1.54268,0.5051,0.39617,0.38032,0.19226,5.32802,2.02915,2.79572,0.0099604,0.0099604,0.0099604
6,2066.61,3.17925,1.53272,1.50976,0.61386,0.45024,0.48242,0.25261,5.08608,1.87749,2.74183,0.0099505,0.0099505,0.0099505
7,2387.74,3.11217,1.49138,1.48289,0.58533,0.44233,0.45664,0.25043,5.01089,1.97419,2.61922,0.0099406,0.0099406,0.0099406
8,2780.84,3.05789,1.45876,1.46108,0.32454,0.31684,0.20903,0.09212,5.81261,2.4213,3.21165,0.0099307,0.0099307,0.0099307
9,3148.09,3.03047,1.44232,1.4513,0.58279,0.44839,0.46615,0.25369,5.02319,1.85327,2.72478,0.0099208,0.0099208,0.0099208
10,3529.06,2.98457,1.41216,1.43351,0.62266,0.46956,0.50387,0.28807,4.79483,1.74469,2.4041,0.0099109,0.0099109,0.0099109
11,3891.22,2.96456,1.40073,1.42543,0.62862,0.49241,0.52871,0.30086,4.87197,1.77746,2.60495,0.009901,0.009901,0.009901
12,4259.09,2.93121,1.38293,1.41635,0.6454,0.48814,0.52989,0.30508,4.83432,1.74995,2.57728,0.0098911,0.0098911,0.0098911
13,4659.54,2.90369,1.36318,1.40476,0.64508,0.50717,0.54228,0.31511,4.79804,1.71086,2.58203,0.0098812,0.0098812,0.0098812
14,5068.55,2.89229,1.35823,1.39916,0.64809,0.51432,0.55251,0.32112,4.74459,1.57618,2.5179,0.0098713,0.0098713,0.0098713
15,5472.3,2.87474,1.3494,1.3901,0.48084,0.41663,0.37251,0.19896,5.06681,1.98211,2.73416,0.0098614,0.0098614,0.0098614
16,5899.8,2.85146,1.33242,1.3831,0.64961,0.5261,0.5659,0.33561,4.73301,1.69126,2.55541,0.0098515,0.0098515,0.0098515
17,6308.45,2.84207,1.33028,1.38205,0.61235,0.48041,0.50246,0.28869,4.85756,1.72341,2.54221,0.0098416,0.0098416,0.0098416
18,6722.5,2.83345,1.3267,1.3765,0.65578,0.51582,0.56121,0.32845,4.7378,1.71332,2.46125,0.0098317,0.0098317,0.0098317
19,7154.76,2.81647,1.31081,1.36914,0.67094,0.52628,0.57475,0.34297,4.71054,1.60068,2.4374,0.0098218,0.0098218,0.0098218
20,7572.28,2.81249,1.31028,1.36403,0.67278,0.53235,0.58173,0.34788,4.64086,1.62832,2.43911,0.0098119,0.0098119,0.0098119
21,7990.4,2.79935,1.30081,1.36046,0.66272,0.52729,0.57038,0.33877,4.71122,1.66254,2.51834,0.009802,0.009802,0.009802
22,8395.84,2.78916,1.29539,1.35383,0.66203,0.53674,0.5843,0.35207,4.65052,1.55891,2.4451,0.0097921,0.0097921,0.0097921
23,8800.95,2.77478,1.2881,1.34952,0.66218,0.54622,0.58871,0.35322,4.64737,1.57513,2.45605,0.0097822,0.0097822,0.0097822
24,9143.41,2.75917,1.28059,1.34411,0.67191,0.53631,0.59146,0.35609,4.63478,1.49141,2.47907,0.0097723,0.0097723,0.0097723
25,9482.2,2.75776,1.2764,1.34278,0.67561,0.54963,0.59686,0.36014,4.62453,1.46456,2.52173,0.0097624,0.0097624,0.0097624
26,9805.81,2.75554,1.27742,1.34205,0.66182,0.54835,0.59197,0.35877,4.62289,1.57338,2.48458,0.0097525,0.0097525,0.0097525
27,10146.6,2.73413,1.2671,1.33541,0.66472,0.55502,0.60039,0.36632,4.58274,1.52116,2.48608,0.0097426,0.0097426,0.0097426
28,10514.3,2.73354,1.26163,1.3325,0.6657,0.53937,0.58509,0.35544,4.63463,1.5428,2.54605,0.0097327,0.0097327,0.0097327
29,10850.7,2.72984,1.26231,1.33285,0.66813,0.55763,0.60291,0.37015,4.5944,1.47635,2.40071,0.0097228,0.0097228,0.0097228
30,11188.6,2.72182,1.25676,1.33015,0.67056,0.56103,0.60651,0.37159,4.57289,1.48525,2.43215,0.0097129,0.0097129,0.0097129
31,11516.6,2.72514,1.25613,1.32599,0.667,0.5552,0.59696,0.36452,4.60642,1.54117,2.43453,0.009703,0.009703,0.009703
32,11841.9,2.70955,1.24886,1.32262,0.67589,0.56409,0.61122,0.37652,4.54475,1.49198,2.36203,0.0096931,0.0096931,0.0096931
33,12154.5,2.69855,1.24439,1.31913,0.67598,0.56299,0.61013,0.37902,4.52227,1.50521,2.44545,0.0096832,0.0096832,0.0096832
34,12469.9,2.70168,1.24351,1.31953,0.67827,0.56716,0.61287,0.37841,4.54036,1.49866,2.43093,0.0096733,0.0096733,0.0096733
35,12793.9,2.7072,1.24554,1.31965,0.67958,0.56775,0.61575,0.38284,4.51288,1.48851,2.38203,0.0096634,0.0096634,0.0096634
36,13109.7,2.69667,1.23714,1.31659,0.6846,0.56971,0.6181,0.38548,4.50993,1.50191,2.43196,0.0096535,0.0096535,0.0096535
37,13429.1,2.68508,1.23633,1.31413,0.68329,0.56944,0.61759,0.38573,4.51017,1.44995,2.42637,0.0096436,0.0096436,0.0096436
38,13762.1,2.68712,1.23218,1.3139,0.68482,0.57128,0.61977,0.38603,4.50656,1.50908,2.40452,0.0096337,0.0096337,0.0096337
39,14120,2.67668,1.23012,1.30943,0.67848,0.57639,0.61995,0.38708,4.50408,1.46721,2.37,0.0096238,0.0096238,0.0096238
40,14511.5,2.66668,1.22469,1.30831,0.68875,0.57294,0.62289,0.39056,4.49571,1.45925,2.41953,0.0096139,0.0096139,0.0096139
41,14843.3,2.67215,1.22404,1.31,0.6857,0.57481,0.62439,0.39233,4.48376,1.44454,2.35858,0.009604,0.009604,0.009604
42,15172.9,2.67038,1.22081,1.30586,0.68636,0.57492,0.62559,0.39284,4.46352,1.45986,2.3845,0.0095941,0.0095941,0.0095941
43,15543.6,2.67033,1.22301,1.30483,0.68423,0.57643,0.62693,0.39501,4.46006,1.44356,2.36741,0.0095842,0.0095842,0.0095842
44,15931,2.66669,1.21771,1.30498,0.6836,0.57911,0.62572,0.39368,4.46693,1.45364,2.37353,0.0095743,0.0095743,0.0095743
45,16349.7,2.66044,1.22093,1.305,0.68388,0.58017,0.62763,0.39495,4.46045,1.47673,2.38639,0.0095644,0.0095644,0.0095644
46,16767.4,2.65442,1.21456,1.30354,0.68906,0.57911,0.62908,0.3958,4.45976,1.45002,2.35831,0.0095545,0.0095545,0.0095545
47,17182.6,2.65416,1.21301,1.29854,0.69137,0.57944,0.63047,0.39747,4.44969,1.43785,2.35053,0.0095446,0.0095446,0.0095446
48,17556.6,2.64791,1.21698,1.30039,0.68415,0.58396,0.62935,0.39775,4.44482,1.42207,2.36843,0.0095347,0.0095347,0.0095347
49,17924.6,2.64464,1.21383,1.29477,0.68386,0.58476,0.63015,0.39829,4.44079,1.43906,2.38955,0.0095248,0.0095248,0.0095248
50,18311.4,2.64082,1.20307,1.2958,0.68663,0.58264,0.62993,0.39919,4.4373,1.43944,2.39346,0.0095149,0.0095149,0.0095149
51,18714.3,2.64026,1.20996,1.2956,0.6862,0.58579,0.63214,0.39979,4.42496,1.4325,2.38158,0.009505,0.009505,0.009505
52,19095.7,2.63611,1.2069,1.29494,0.68832,0.58422,0.63285,0.4008,4.4223,1.42739,2.36798,0.0094951,0.0094951,0.0094951
53,19502.5,2.62968,1.20113,1.29148,0.68637,0.58762,0.63294,0.4022,4.41683,1.43298,2.35749,0.0094852,0.0094852,0.0094852
54,19892.4,2.63087,1.20059,1.2915,0.68959,0.58502,0.63304,0.40269,4.41113,1.42701,2.34945,0.0094753,0.0094753,0.0094753
55,20278.1,2.63405,1.20321,1.28967,0.68752,0.58634,0.63447,0.40439,4.4112,1.41071,2.32652,0.0094654,0.0094654,0.0094654
